"","x"
"1","TCGA.20.0987"
"2","TCGA.23.1031"
"3","TCGA.24.0979"
"4","TCGA.23.1117"
"5","TCGA.23.1021"
"6","TCGA.04.1337"
"7","TCGA.20.0990"
"8","TCGA.23.1032"
"9","TCGA.23.1118"
"10","TCGA.23.1026"
"11","TCGA.20.0991"
"12","TCGA.24.1103"
"13","TCGA.24.0982"
"14","TCGA.23.1119"
"15","TCGA.23.1028"
"16","TCGA.04.1341"
"17","TCGA.20.0996"
"18","TCGA.24.1104"
"19","TCGA.23.1107"
"20","TCGA.23.1120"
"21","TCGA.23.1030"
"22","TCGA.04.1342"
"23","TCGA.23.1022"
"24","TCGA.24.1105"
"25","TCGA.23.1109"
"26","TCGA.23.1121"
"27","TCGA.04.1331"
"28","TCGA.04.1343"
"29","TCGA.23.1023"
"30","TCGA.24.0968"
"31","TCGA.23.1110"
"32","TCGA.23.1122"
"33","TCGA.04.1332"
"34","TCGA.04.1346"
"35","TCGA.23.1024"
"36","TCGA.24.0970"
"37","TCGA.23.1113"
"38","TCGA.23.1123"
"39","TCGA.04.1335"
"40","TCGA.04.1347"
"41","TCGA.23.1027"
"42","TCGA.24.0975"
"43","TCGA.23.1116"
"44","TCGA.23.1124"
"45","TCGA.04.1336"
"46","TCGA.04.1338"
"47","TCGA.24.1425"
"48","TCGA.24.1474"
"49","TCGA.24.1549"
"50","TCGA.24.1564"
"51","TCGA.24.1469"
"52","TCGA.24.1550"
"53","TCGA.24.1565"
"54","TCGA.24.1470"
"55","TCGA.24.1551"
"56","TCGA.24.1603"
"57","TCGA.24.1471"
"58","TCGA.24.1552"
"59","TCGA.24.1604"
"60","TCGA.24.1553"
"61","TCGA.24.1614"
"62","TCGA.04.1514"
"63","TCGA.24.1555"
"64","TCGA.24.1616"
"65","TCGA.04.1530"
"66","TCGA.24.1562"
"67","TCGA.04.1542"
"68","TCGA.24.1563"
"69","TCGA.13.0758"
"70","TCGA.09.0364"
"71","TCGA.13.0723"
"72","TCGA.13.0757"
"73","TCGA.13.0768"
"74","TCGA.13.0800"
"75","TCGA.09.0365"
"76","TCGA.13.0724"
"77","TCGA.13.0791"
"78","TCGA.13.0801"
"79","TCGA.09.0366"
"80","TCGA.13.0725"
"81","TCGA.13.0792"
"82","TCGA.13.0802"
"83","TCGA.09.0367"
"84","TCGA.13.0793"
"85","TCGA.13.0803"
"86","TCGA.09.0369"
"87","TCGA.13.0727"
"88","TCGA.13.0762"
"89","TCGA.13.0794"
"90","TCGA.13.0804"
"91","TCGA.13.0714"
"92","TCGA.13.0730"
"93","TCGA.13.0795"
"94","TCGA.13.0805"
"95","TCGA.13.0717"
"96","TCGA.13.0765"
"97","TCGA.13.0797"
"98","TCGA.13.0720"
"99","TCGA.13.0755"
"100","TCGA.13.0799"
"101","TCGA.13.0766"
"102","TCGA.13.0764"
